"Study_Network_id","pollinator_count","total_pollinator_count","percentage","strategy","n_plants","pollinator_order"
"11_Clough_ASK_2021_2021",2,11,18.1818181818182,"Abundance",5,"Hymenoptera"
"11_Clough_HAM_2021_2021",1,10,10,"Abundance",5,"Hymenoptera"
"11_Clough_KOM_2021_2021",4,11,36.3636363636364,"Abundance",5,"Hymenoptera"
"11_Clough_LOB_2021_2021",3,6,50,"Abundance",5,"Hymenoptera"
"11_Clough_PET_2021_2021",2,18,11.1111111111111,"Abundance",5,"Hymenoptera"
"11_Clough_TAG_2021_2021",2,12,16.6666666666667,"Abundance",5,"Hymenoptera"
"12_Ockinger_Norrang_Ryckelsby_Og",3,6,50,"Abundance",5,"Hymenoptera"
"12_Ockinger_Sattra_Og",3,4,75,"Abundance",5,"Hymenoptera"
"12_Ockinger_St_Tadinge",10,13,76.9230769230769,"Abundance",5,"Hymenoptera"
"12_Ockinger_Tjalinge_Skogstibble",4,12,33.3333333333333,"Abundance",5,"Hymenoptera"
"20_Hoiss_H5_2010",8,17,47.0588235294118,"Abundance",5,"Hymenoptera"
"20_Hoiss_H6_2010",3,5,60,"Abundance",5,"Hymenoptera"
"20_Hoiss_H7_2010",1,4,25,"Abundance",5,"Hymenoptera"
"20_Hoiss_HO1_2010",10,16,62.5,"Abundance",5,"Hymenoptera"
"20_Hoiss_HO5_2010",3,11,27.2727272727273,"Abundance",5,"Hymenoptera"
"20_Hoiss_T4_2010",11,20,55,"Abundance",5,"Hymenoptera"
"22_Kallnik_h1_2012",6,11,54.5454545454545,"Abundance",5,"Hymenoptera"
"22_Kallnik_h2_2011",10,11,90.9090909090909,"Abundance",5,"Hymenoptera"
"22_Kallnik_h3_2011",8,10,80,"Abundance",5,"Hymenoptera"
"22_Kallnik_h4_2010",5,10,50,"Abundance",5,"Hymenoptera"
"22_Kallnik_h4_2011",8,10,80,"Abundance",5,"Hymenoptera"
"22_Kallnik_h5_2011",10,11,90.9090909090909,"Abundance",5,"Hymenoptera"
"22_Kallnik_h5_2012",7,11,63.6363636363636,"Abundance",5,"Hymenoptera"
"22_Kallnik_h6_2011",6,10,60,"Abundance",5,"Hymenoptera"
"22_Kallnik_h7_2011",6,10,60,"Abundance",5,"Hymenoptera"
"22_Kallnik_ho2_2011",4,10,40,"Abundance",5,"Hymenoptera"
"22_Kallnik_ho3_2011",8,12,66.6666666666667,"Abundance",5,"Hymenoptera"
"22_Kallnik_ho3_2012",7,10,70,"Abundance",5,"Hymenoptera"
"22_Kallnik_ho4_2010",7,10,70,"Abundance",5,"Hymenoptera"
"22_Kallnik_ho4_2011",12,13,92.3076923076923,"Abundance",5,"Hymenoptera"
"22_Kallnik_ho4_2012",9,12,75,"Abundance",5,"Hymenoptera"
"22_Kallnik_ho5_2011",5,12,41.6666666666667,"Abundance",5,"Hymenoptera"
"22_Kallnik_wma3_2011",4,10,40,"Abundance",5,"Hymenoptera"
"22_Kallnik_wma3_2012",2,10,20,"Abundance",5,"Hymenoptera"
"22_Kallnik_wma4_2011",5,11,45.4545454545455,"Abundance",5,"Hymenoptera"
"22_Kallnik_wma5_2011",8,10,80,"Abundance",5,"Hymenoptera"
"22_Kallnik_wmb1_2012",8,11,72.7272727272727,"Abundance",5,"Hymenoptera"
"22_Kallnik_wmb2_2011",4,12,33.3333333333333,"Abundance",5,"Hymenoptera"
