Study_Network_id,n_plants_total,total_pollinator_richness,n_plants_sampled,captured_pollinator_richness,repetition,sampling_proportion,sampling_percent,pollinator_richness_captured_percent
39_Schweiger_I1_ruderal_1_2021,23,20,2,6,1,0.05,5,30
39_Schweiger_I2_semi.natural.grass_5_2021,18,27,1,0,1,0.05,5,0
39_Schweiger_I2_woodland.scrub_1_2021,23,22,2,5,1,0.05,5,22.727272727272727
39_Schweiger_I4_woodland.scrub_3_2021,22,21,2,0,1,0.05,5,0
39_Schweiger_R1_semi.natural.grass_4_2021,15,23,1,0,1,0.05,5,0
39_Schweiger_R4_semi.natural.grass_2_2021,11,25,1,0,1,0.05,5,0
40_Knight_Ghe_ari_2017,30,129,2,19,1,0.05,5,14.728682170542635
41_Knight_1 wooded meadow_2018,39,37,2,14,1,0.05,5,37.83783783783784
41_Knight_2 alvar pasture_2018,32,17,2,0,1,0.05,5,0
41_Knight_3 alvar pasture_2018,21,34,2,2,1,0.05,5,5.882352941176471
41_Knight_4 wooded meadow_2018,30,23,2,1,1,0.05,5,4.3478260869565215
41_Knight_5 wooded meadow_2018,27,47,2,0,1,0.05,5,0
41_Knight_6 alvar pasture_2018,37,23,2,8,1,0.05,5,34.78260869565217
42_Knight_M1Restored_2019,45,25,3,2,1,0.05,5,8
42_Knight_M2Natural_2019,31,19,2,0,1,0.05,5,0
42_Knight_M3Natural_2019,37,17,2,1,1,0.05,5,5.882352941176471
42_Knight_M4Restored_2019,33,19,2,2,1,0.05,5,10.526315789473685
42_Knight_M5Restored_2019,37,21,2,1,1,0.05,5,4.761904761904762
42_Knight_M6Natural_2019,47,35,3,1,1,0.05,5,2.857142857142857
42_Knight_M8Restored_2019,32,15,2,0,1,0.05,5,0
44_Knight_M11_2018,46,33,3,0,1,0.05,5,0
44_Knight_M12_2018,43,55,3,9,1,0.05,5,16.363636363636363
44_Knight_M13_2018,32,23,2,4,1,0.05,5,17.391304347826086
44_Knight_M15_2018,45,58,3,0,1,0.05,5,0
44_Knight_M16_2018,50,50,3,6,1,0.05,5,12
44_Knight_M17_2018,33,48,2,1,1,0.05,5,2.0833333333333335
44_Knight_M18_2018,39,44,2,3,1,0.05,5,6.818181818181818
44_Knight_M1_2018,23,37,2,5,1,0.05,5,13.513513513513514
44_Knight_M3_2018,57,63,3,4,1,0.05,5,6.349206349206349
44_Knight_M4_2018,46,56,3,4,1,0.05,5,7.142857142857143
44_Knight_M6_2018,69,33,4,1,1,0.05,5,3.0303030303030303
44_Knight_M8_2018,67,41,4,4,1,0.05,5,9.75609756097561
45_Knight_Hermanovice_meadow_2018,32,47,2,0,1,0.05,5,0
45_Knight_HorniGrunt_meadow_2018,26,38,2,1,1,0.05,5,2.6315789473684212
45_Knight_Mnichov_meadow_2018,29,53,2,7,1,0.05,5,13.20754716981132
46_Knight_Gora_Gipsowa_2018,37,41,2,1,1,0.05,5,2.4390243902439024
47_Benadi_1,81,190,5,49,1,0.05,5,25.789473684210527
47_Benadi_2,54,162,3,63,1,0.05,5,38.888888888888886
47_Benadi_3,67,150,4,26,1,0.05,5,17.333333333333332
47_Benadi_4,55,144,3,23,1,0.05,5,15.972222222222221
47_Benadi_5,68,131,4,24,1,0.05,5,18.3206106870229
47_Benadi_6,63,96,4,32,1,0.05,5,33.333333333333336
4_Marini_UNIPD01 A_2018,23,69,2,23,1,0.05,5,33.333333333333336
4_Marini_UNIPD01 An_2018,27,54,2,2,1,0.05,5,3.7037037037037037
4_Marini_UNIPD01 B_2018,29,58,2,10,1,0.05,5,17.24137931034483
4_Marini_UNIPD01 Bn_2018,32,90,2,5,1,0.05,5,5.555555555555555
4_Marini_UNIPD01 C_2018,37,67,2,6,1,0.05,5,8.955223880597014
4_Marini_UNIPD01 Cn_2018,30,65,2,15,1,0.05,5,23.076923076923077
4_Marini_UNIPD01 E_2018,46,73,3,10,1,0.05,5,13.698630136986301
4_Marini_UNIPD01 En_2018,40,67,2,3,1,0.05,5,4.477611940298507
4_Marini_UNIPD01 F_2018,25,32,2,8,1,0.05,5,25
4_Marini_UNIPD01 Fn_2018,29,31,2,7,1,0.05,5,22.580645161290324
4_Marini_UNIPD01 G_2018,25,56,2,1,1,0.05,5,1.7857142857142858
4_Marini_UNIPD01 Gn_2018,28,45,2,12,1,0.05,5,26.666666666666668
4_Marini_UNIPD01 H_2018,50,98,3,2,1,0.05,5,2.0408163265306123
4_Marini_UNIPD01 Hn_2018,38,82,2,9,1,0.05,5,10.975609756097562
4_Marini_UNIPD01 I_2018,33,74,2,4,1,0.05,5,5.405405405405405
4_Marini_UNIPD01 In_2018,44,93,3,1,1,0.05,5,1.075268817204301
50_Hervias-Parejo_Cala Tirant_2021,18,77,1,12,1,0.05,5,15.584415584415584
50_Hervias-Parejo_Llucalari_2021,11,62,1,3,1,0.05,5,4.838709677419355
50_Hervias-Parejo_Sa Bassa_2021,15,81,1,3,1,0.05,5,3.7037037037037037
50_Hervias-Parejo_Salinas_2021,27,95,2,20,1,0.05,5,21.05263157894737
50_Hervias-Parejo_Torre Fornells_2021,21,83,2,5,1,0.05,5,6.024096385542169
50_Hervias-Parejo_coast Son Bou_2021,10,46,1,6,1,0.05,5,13.043478260869565
51_Petanidou_Pyrgos_2013,39,66,2,1,1,0.05,5,1.5151515151515151
51_Petanidou_Sigri 3_2012,28,51,2,0,1,0.05,5,0
54_Lazaro_AloeVera_2018_2018,11,60,1,1,1,0.05,5,1.6666666666666667
